code,province,nb2015,augmentation,pop,taux2015
AB,Alberta,109177,92.27,4196500,26.02
CB,Colombie-Britannique,105472,79.24,4683100,22.52
IPE,Île-du-Prince-Édouard,1228,55.84,146400,8.39
MB,Manitoba,19719,86.36,1293400,15.25
NB,Nouveau-Brunswick,9073,76.55,753900,12.03
NE,Nouvelle-Écosse,13344,78.87,943000,14.15
NU,Nunavut,292,44.55,36900,7.91
ON,Ontario,134265,68.97,13792100,9.73
QC,Québec,40683,44.32,8263600,4.92
SK,Saskatchewan,27992,101.03,1133600,24.69
TNL,Terre-Neuve-et-Labrador,5149,75.02,527800,9.76
TNO,Territoires du Nord-Ouest,918,41.23,44100,20.82
YK,Yukon,1616,33.22,37400,43.21
