index,yr,mo,date,latlon,latitude,longitude,city,pays,description,killed,injured,kidnapped,EIouAL,tableCategory
1,2015,1,2015-01-07,48.856614 2.3522219,48.856614,2.3522219,Paris,France,Attaque contre la publication satirique « Charlie Hebdo »,12,11,,AL,Inspiré
2,2015,1,2015-01-08,13.0951221 13.818728,13.0951221,13.818728,Baga,Nigeria,Attaque de Boko Haram contre les villes de Baga et Doron Baga,200,,2000,EI,Dirigé
3,2015,1,2015-01-09,48.856614 2.3522219,48.856614,2.3522219,Paris,France,Attaque contre une épicerie fréquentée par la communauté juive.,4,,,EI,Inspiré
4,2015,1,2015-01-12,32.888054 13.191211,32.888054,13.191211,Tripoli,Libye,L'État islamique en Libye dit avoir pris en otage 21 chrétiens égyptiens.,,0,21,EI,Dirigé
5,2015,1,2015-01-23,34.259635 36.417656,34.259635,36.417656,Ras Baalbek,Liban,L'État islamique s'en prend à une position militaire au Liban.,,0,0,EI,Dirigé
6,2015,1,2015-01-27,32.888199 13.190954,32.888199,13.190954,Tripoli,Libye,L'État islamique en Libye s'attaque à un hôtel de luxe de la capitale libyenne.,10,0,0,EI,Dirigé
7,2015,1,2015-01-29,30.145793 33.806689,30.145793,33.806689,Arish et Rafah,Égypte,Série d'attaques à plusieurs installations militaires,44,0,0,EI,Dirigé
8,2015,2,2015-02-03,29.823072 17.284069,29.823072,17.284069,Mabrouk,Libye,"Des miliants du goupe État islamique aurait tué 12 personnes, dont 4 étrangers, sur un site pétrolier.",12,0,0,EI,Dirigé
9,2015,2,2015-02-14,55.678527 12.580237,55.678527,12.580237,Copenhagen,Danemark,"Un homme attaque un centre culturel, puis une synagogue.",2,5,0,EI,Inspiré
10,2015,2,2015-02-15,32.843782 12.171554,32.843782,12.171554,(Inconnue),Libye,L'État islamique publie une vidéo montrant l'exécution de chrétiens égyptiens qui auraient été enlevés un mois plus tôt.,21,0,0,EI,Dirigé
